sku,name,description,imageURL,buyersChoice,price
vI1uB,Compact writing desk,"Compact writing desk, ideal for students.",https://www.thespruce.com/thmb/spF6zb2KxC735o6TfO6MoDLSGwM=/fit-in/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Jiexi-Small-Computer-Desk-e90fd909346e4999afc014f2b2e70a6a.jpg,FALSE,2183
fO6mY,Contemporary media console,"Contemporary media console, cable management.",https://images.thdstatic.com/productImages/b4eaed21-9a17-41ff-8eba-4827e65d80c7/svn/walnut-white-modway-tv-stands-eei-3302-wal-whi-64_600.jpg,FALSE,1801
xZ3kA,Cozy bean bag chair,"Cozy bean bag chair, fun seating.",https://www.thespruce.com/thmb/3q05dzGWz1UtcDu900mUcT4Dp1Q=/6488x0/filters:no_upscale():max_bytes(150000):strip_icc()/bean-bag-group-leticia-almeida-photo-01.jpg-73859d1416b545a3be1c70bc127b2d20.jpg,FALSE,3149
lW7rT,Foldable TV tray table,"Foldable TV tray table, convenient.",https://foter.com/photos/419/c-frame-wooden-tv-trays.jpeg,FALSE,3461
8nGcQ,Adjustable standing desk,"Adjustable standing desk, ergonomic.",https://www.standupdeskstore.com/media/catalog/product/cache/95b5e84664446970d1438622a2af1485/s/u/sude48fpwhab_whitebackground1_1.jpg,TRUE,1898
eM1hS,Industrial bar cart,"Industrial bar cart, trendy storage.",https://images.custommade.com/DvMP6yns40FXQuLrJkElIwjS0Ak=/custommade-photosets/07c70bc2474610f_industrial_trolley_bar_cart_1n.JPG,FALSE,2459
jB5tV,Elegant accent chair,"Elegant accent chair, velvet upholstery.",https://www.furniturestorelosangeles.com/media/catalog/product/cache/b9a5bb227f7b0b98d739db40c623248a/h/e/hermosa-light-pink-velvet-accent-chair.jpg,FALSE,2504
iX9dF,Simple platform bed,"Simple platform bed, sturdy construction.",https://m.media-amazon.com/images/I/81vNk3IBCTL.jpg,FALSE,3409
dP4yU,Minimalist floating shelf,"Minimalist floating shelf, easy installation.",https://s3.amazonaws.com/media.woodsmithplans.com/images/WS16516_wall-shelves/photo-large-hd.jpg,FALSE,2153
cL2aZ,Retro bar stools,"Retro bar stools, swivel seats.",https://cdn3.volusion.com/636cz.qxuz5/v/vspfiles/photos/193-Dcl-Porsche-2.jpg?v-cache=1662801069,FALSE,1847
hR0mG,Functional hallway bench,"Functional hallway bench, shoe storage.",https://sprout-kids.com/cdn/shop/products/KSB-1.png?v=1683760508,FALSE,2857
bV7jI,Compact end table,"Compact end table, fits any corner.",https://imgs.michaels.com/MAM/assets/1/5E3C12034D34434F8A9BAAFDDF0F8E1B/img/28FE5727145B4F839B6BFA51353788D5/D717104S_1.jpeg?fit=inside|1280:1280,FALSE,1447
5eNkW,Wall-mounted mirror,"Wall-mounted mirror, modern design.",https://ak1.ostkcdn.com/images/products/is/images/direct/e0c548d3956ce4dd18ac351caa9cc83522729c00/KOHROS-Modern-Round-Art-Decoration-Wall-Mounted-Mirror.jpg?impolicy=medium,FALSE,1472
mH3sO,Compact computer desk,"Compact computer desk, practical.",https://s3.amazonaws.com/media.woodsmithplans.com/images/WS16422_compact-desk/newsletter-crop.jpg,TRUE,1541
qJ9uT,Stylish floor mirror,"Stylish floor mirror, full-length.","https://hips.hearstapps.com/hmg-prod/images/full-length-mirrors-1581461071.png?crop=1.00xw:1.00xh;0,0&resize=640:*",FALSE,2614
2aPwE,Modern sectional sleeper sofa.,Modern sectional sleeper sofa.,https://i.pinimg.com/736x/c6/bd/27/c6bd270e9835a7a07c3a98e050080572--sectional-sofa-with-sleeper-sleeper-ottoman.jpg,FALSE,3094
oL4rX,Classic wingback chair,"Classic wingback chair, timeless style.",https://foter.com/photos/425/upholstered-tufted-velvet-high-wingback-chair.jpg,FALSE,2449
yT1hC,Rolling kitchen cart,"Rolling kitchen cart, versatile storage.",https://foter.com/photos/425/kissinger-34-5-wide-rolling-kitchen-island-with-solid-wood-top.jpg,FALSE,3071
wV8kS,Space-saving foldable chairs,"Space-saving foldable chairs, set of two.","https://m.media-amazon.com/images/I/61MUHOR5V0L._AC_UF894,1000_QL80_.jpg",FALSE,2779
sN6gF,Stylish pendant lamp,"Stylish pendant lamp, adjustable height.",https://i5.walmartimages.com/asr/e906b70f-3eee-4c89-a709-8126f9fcfdea.94deacf4e644a2de6ea52d5a1f58fd4d.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,FALSE,2498
iX5cJ,Comfortable futon sofa,"Comfortable futon sofa, converts to bed.",https://www.realsimple.com/thmb/pfSCqVRsynQXlLkf0yF5yuPWCUE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Best-Sleeper-Sofas-Tested-RS-Social-e0d0937c5e544692b52b52920a363e54.jpg,FALSE,2445
vA0jL,Rustic wooden bar table,"Rustic wooden bar table, charming.",https://i.pinimg.com/736x/90/59/1e/90591e0010fe89fdfd7de72300f147aa.jpg,TRUE,3304
pO9mH,Chic jewelry armoire,"Chic jewelry armoire, organized storage.","https://m.media-amazon.com/images/I/71fkNqyDc5L._AC_UF894,1000_QL80_.jpg",FALSE,2168
4eDpQ,Folding bookcase,"Folding bookcase, easy to store.",https://m.media-amazon.com/images/I/71viFobTNyL.jpg,FALSE,3096
mZ2qS,Plush recliner chair,"Plush recliner chair, padded comfort.",https://cincinnatioverstockwarehouse.com/wp-content/uploads/2018/05/4211_bingham_charcoal-1-600x420.jpg,FALSE,2979
cU6nY,Vintage record player stand,"Vintage record player stand, nostalgic.",https://www.atxrecordplayers.com/hosted/images/54/5cfa419c0111e888c1d95399a0974c/unnamed-12.jpg,FALSE,2750
hG3lK,Rustic farmhouse bench,"Rustic farmhouse bench, solid wood.","https://m.media-amazon.com/images/I/612SlpNkIDL._AC_UF894,1000_QL80_.jpg",FALSE,2100
nR1aV,Space-efficient corner desk,"Space-efficient corner desk, with shelves.","https://m.media-amazon.com/images/I/71K6Wb7gfhL._AC_UF894,1000_QL80_.jpg",FALSE,1892
tW7kI,Elegant table lamp,"Elegant table lamp, soft lighting.",https://cdn.safavieh.com/furniture/tbl/large/TBL4389B-ON.jpg,FALSE,2308
jL4rM,Compact sideboard,"Compact sideboard, stylish storage.",https://www.bhg.com/thmb/YTulPuu_xKB0T58UTmop77k3Cpg=/6000x0/filters:no_upscale():strip_icc()/the-best-sideboards-for-additional-storage-and-serving-space-tout-a2ebbdb5f094476f9b0f78bf5c92b99c.jpg,FALSE,2180
dQ9iZ,Comfortable loveseat,"Comfortable loveseat, perfect for two.",https://www.thespruce.com/thmb/9NENiTF8ErLlYidn55TmU5PiT6E=/6000x0/filters:no_upscale():max_bytes(150000):strip_icc()/Best-Couches-of-2023-for-Style-and-Comfort-tout-830096416c1e49eeae7fc20247c51dd7.jpg,FALSE,1713
8mSjX,Versatile TV wall mount,"Versatile TV wall mount, tilt and swivel.",https://media.startech.com/cms/products/gallery_large/fha-tv-wall-mount.d.jpg,TRUE,2021
pC2dW,Foldable step stool,"Foldable step stool, easy to carry.",https://i5.walmartimages.com/asr/38f663db-38c8-4e2f-869b-3314ea4c0188.7c75310b5d9f48ee8fc6399605f35927.jpeg,FALSE,2761
sF6zO,Stylish room divider,"Stylish room divider, multi-functional.",https://www.architectureartdesigns.com/wp-content/uploads/2018/02/15-1-630x648.jpg,FALSE,3072
3oKcT,Soft cushioned vanity stool.,Soft cushioned vanity stool.,https://i5.walmartimages.com/asr/2f2e387d-1c03-48f2-9056-ed54a757a37c.f27e8203e741079db7c93aa1210f3740.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,FALSE,2859
rN1kU,Chic wall-mounted shelf,"Chic wall-mounted shelf, decorative.",https://i5.walmartimages.com/asr/98673ecc-66b3-41b6-bf27-67b4bcfe75e6.e69ec66cd1a5c0d9fe6bced13af27811.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,FALSE,2079
eV5tY,Modern platform bed,"Modern platform bed, sleek design.",https://i5.walmartimages.com/seo/Baxton-Studio-Soloman-Mid-Century-Modern-Light-Beige-Fabric-and-Walnut-Brown-Finished-Wood-Platform-Bed-King_a306692c-7c56-412e-bced-6914b3d15514_1.9ce22895a2b2259c7f87f631a41811e2.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,FALSE,3021
gB0pQ,Cozy papasan chair,"Cozy papasan chair, indoor/outdoor.",https://i5.walmartimages.com/asr/5673187e-9d99-49a3-9382-07d0a85f626c.825d9f34f4a0a43176990d896a46a910.jpeg,FALSE,1926
xR3jW,Compact bar cabinet,"Compact bar cabinet, glass storage.",https://www.liquor.com/thmb/YN6_7rOmkA7ueG6FJQnoT_nrN9M=/fit-in/1500x1000/filters:no_upscale():max_bytes(150000):strip_icc()/Jill-Zarin-Bar-Cabinet-ee12ebf316d84dce85e9e058feae31ca.jpg,FALSE,3443
lZ8wI,Antique coat stand,"Antique coat stand, classic look.",https://isitretro.co.uk/cdn/shop/products/s-l1600_1_48d2aaf3-7ded-47af-92b5-d91aa575c5af.jpg?v=1594483532,FALSE,2064
bA7mC,Adjustable backrest floor chair.,Adjustable backrest floor chair.,https://c1.neweggimages.com/productimage/nb640/BKGRD2305170US0VNAF.jpg,FALSE,3248
iU9fK,Industrial writing desk,"Industrial writing desk, metal frame.",https://www.fitzpatricksfurniture.com/cdn/shop/products/Coaster_20Z1_20Standard_2023-07-12T16_31_58.893575_fekeuerpxr_1200x900.jpg?v=1690341263,FALSE,2483
nG4hQ,Space-saving bunk bed,"Space-saving bunk bed, twin size.",https://d9dvmj2a7k2dc.cloudfront.net/catalog/product/c/m/cm-bk626_foa20231.jpg,FALSE,2833
dL3tR,Decorative wall clock,"Decorative wall clock, silent movement.",https://m.media-amazon.com/images/I/71lo70UW2SL.jpg,FALSE,1604
7sYqV,Vintage plant stand,"Vintage plant stand, three-tiered.",https://i5.walmartimages.com/seo/Plant-Stand-3-Tier-Vertical-Shelf-for-Indoor-or-Outdoor-Display-by-Pure-Garden-Black_4ebbd9fe-c5f0-45dc-8e72-4ec08f3786c6_1.47b2dfdd79c5a3fee14545488f3f6739.jpeg,FALSE,2813
vP6nS,Stylish magazine rack,"Stylish magazine rack, minimalist design.",https://homesteadseattle.com/cdn/shop/products/20180605-20180605-P1070200-Edit_2048x.jpg?v=1571438859,FALSE,3186
jB2wE,Cozy floor cushion,"Cozy floor cushion, soft seating.",https://m.media-amazon.com/images/I/61dc-UhiG+L.jpg,FALSE,3084
oZ1iX,Classic wooden rocking chair.,Classic wooden rocking chair.,https://ak1.ostkcdn.com/images/products/is/images/direct/b57d8a834908f3699b9c7136138c0ccd8c90cfce/Elegant-wooden-rocking-chair.jpg?impolicy=medium,FALSE,2156
yM8kT,Functional bedside caddy,"Functional bedside caddy, easy access.","https://m.media-amazon.com/images/S/aplus-media/sc/b509f5e8-a1a1-4ec6-9d99-f7ee0baf992f.__CR0,0,970,600_PT0_SX970_V1___.jpg",FALSE,2852
qH7jP,Chic vanity mirror with lights.,Chic vanity mirror with lights.,https://www.ibmirror.com/docs/051120_185845_ibmirror_mirror_led_light_min.jpg,FALSE,3286
wN5cF,Modern floating TV shelf,"Modern floating TV shelf, cable management.",https://www.home-designing.com/wp-content/uploads/2020/08/Floating-TV-Stand-with-Cable-Management-Made-from-Weathered-Oak-with-Multiple-Shelves-600x600.jpg,FALSE,2680
tE9vS,Versatile storage bench,"Versatile storage bench, entryway organizer.",https://i5.walmartimages.com/asr/7c07a08f-a2c0-4b13-b61f-22c283738234.7630cdb423fedfc78f5aa8d10bb947c0.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,FALSE,1982
rQ6pD,Foldable laptop table,"Foldable laptop table, portable.",https://m.media-amazon.com/images/I/61QRL6C2wXS._AC_SL1000_.jpg,FALSE,2311
cA3gH,Elegant canopy bed,"Elegant canopy bed, queen size.",https://i5.walmartimages.com/seo/Yoneston-4-Post-Metal-Canopy-Bed-Frame-Strong-Metal-Slat-Support-Mattress-Foundation-Full-Black_eb311b62-6200-4f58-be26-104b76af71b9.e8847c7dbe4a248e9bd2d5ab5d4dd643.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,FALSE,1737
mV0nB,Cozy hammock chair,"Cozy hammock chair, indoor/outdoor use.",https://i.etsystatic.com/18643702/r/il/69daf4/4145639041/il_fullxfull.4145639041_g57h.jpg,TRUE,3440
4jGxW,Vintage bar cabinet,"Vintage bar cabinet, glass doors.",https://www.safestore.co.uk/getattachment/Blog/2018/11-(1)/How-to-turn-a-bookcase-into-a-retro-cocktail-cabinet/Retro-Cocktail-Cabinet-Project.jpg.aspx,FALSE,2820
kL9sU,Rustic wine rack,"Rustic wine rack, holds 12 bottles.",https://www.ikea.com/us/en/images/products/magnetisk-12-bottle-wine-rack-solid-wood__1027202_pe834781_s5.jpg,FALSE,2391
eZ7iM,Contemporary end table,"Contemporary end table, metal frame.",https://i5.walmartimages.com/asr/8db92575-fbce-4200-896e-ed7b3b0ccddd.1ab4982fd036f2f7d79c448d94deafe1.jpeg,FALSE,1883
bP1yK,Space-saving wall-mounted desk,"Space-saving wall-mounted desk, with shelves.",https://i.etsystatic.com/18582612/r/il/b14844/2898781565/il_fullxfull.2898781565_5k5i.jpg,FALSE,2074
sF4mT,Compact nightstand with charging station.,Compact nightstand with charging station.,https://i5.walmartimages.com/asr/ceff2874-52e3-4d4c-ac55-b37b8d4faefb.867a9a0c644f4214d40d43fb7e194280.jpeg,FALSE,2260
uS3qD,Soft pouf ottoman,"Soft pouf ottoman, stylish seating.",https://assets.wfcdn.com/im/67310347/resize-h600-w600%5Ecompr-r85/2318/23185276/Ottomans+%2B+Poufs.jpg,FALSE,2212
xI0lG,Modern adjustable barstool,"Modern adjustable barstool, swivel seat.",https://m.media-amazon.com/images/I/71RQsphP5AL.jpg,FALSE,2486
nJ8vY,Functional over-the-door organizer.,Functional over-the-door organizer.,https://hgtvhome.sndimg.com/content/dam/images/hgtv/products/2022/7/6/2/rx_amazon_gillas-over-the-door-hooks-hanger.jpeg.rend.hgtvcom.616.616.suffix/1657119313236.jpeg,FALSE,2731
hM5wR,Chic floor-to-ceiling bookshelf.,Chic floor-to-ceiling bookshelf.,https://www.thespruce.com/thmb/HEau7ahiJg1SjjE8k7-5a7-Dkew=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/247745566_214327720789552_7838082515603916126_n-99b6898948bf40da97ed1d7d160e59b8.jpg,FALSE,2100
zO9jF,Plush velvet loveseat,"Plush velvet loveseat, luxurious feel.","https://m.media-amazon.com/images/I/81iqTuB73WL._AC_UF894,1000_QL80_.jpg",FALSE,2522
tQ2hB,Classic wooden chest,"Classic wooden chest, hinged lid.",https://images.thdstatic.com/productImages/390f5e5a-ddf7-520e-81d3-d58facf0db14/svn/brown-litton-lane-storage-baskets-28700-64_600.jpg,FALSE,2689
gW7kL,Sturdy ladder bookshelf,"Sturdy ladder bookshelf, leaning design.",https://ak1.ostkcdn.com/images/products/is/images/direct/91834f88dd2ae740fb3756536f44f80335f95e05/Ranell-Leaning-Ladder-Shelves-by-iNSPIRE-Q-Modern.jpg?impolicy=medium,FALSE,3119
rU4dI,Industrial-style dining table,"Industrial-style dining table, metal legs.",https://images.squarespace-cdn.com/content/v1/5250c5ece4b0b7fca755b4e2/1544719061457-K3UOTJ4TOVOXIL78M98M/modern%2Bdng%2Btbl%2B3.jpg?format=1000w,FALSE,2406
cV1nX,Compact sofa bed,"Compact sofa bed, ideal for guests.",https://www-article-com-blog.exactdn.com/blog/wp-content/uploads/2018/04/Blog-Nordby-open.jpg?strip=all&lossy=1&resize=640%2C459&ssl=1,FALSE,2362
pZ6fK,Soft throw pillow set,"Soft throw pillow set, decorative.",https://ak1.ostkcdn.com/images/products/30925421/Cheer-Collection-Set-of-2-Decorative-Accent-Throw-Pillows-and-Insert-for-Couch-Sofa-Bed-01c514d1-1334-4810-af16-f77d49b6bde1_600.jpg?impolicy=medium,FALSE,2386
oT3xS,Minimalist shoe bench,"Minimalist shoe bench, hidden storage.",https://m.media-amazon.com/images/I/71p7WSyctVL.jpg,FALSE,2172
iC8yU,Vintage bedside table,"Vintage bedside table, two drawers.",https://i5.walmartimages.com/asr/76e56f3c-9266-4794-9036-c1cf3b216f7c.10715c230a8cabc641f4a11ffd822c01.jpeg,FALSE,2494
mS2lR,Space-saving wall-mounted coat hanger.,Space-saving wall-mounted coat hanger.,https://i5.walmartimages.com/asr/a3fcb4cf-cd86-4224-927f-1c178d9b2375.6b07295ba7e9124707f97486767ea664.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,FALSE,2843
jB9gD,Chic vanity set,"Chic vanity set, includes mirror and stool.",https://i5.walmartimages.com/asr/92d855fd-c75e-4ccd-9ba1-0fc2ab0529cf.d5ecfbea2d27150b0196f3c657de046c.jpeg,FALSE,3272
uP5tW,Rustic wooden wine cabinet,"Rustic wooden wine cabinet, farmhouse style.",https://i5.walmartimages.com/asr/e1fd4cd2-27c0-4ee1-ac04-c7090c22a975.8b85b9923640e57f4c8a54dbf223904d.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,FALSE,1919
kH4jI,Contemporary entertainment center,"Contemporary entertainment center, open shelves.",https://s3.amazonaws.com/sierraimages/Images/Product/Large/9897.jpg,FALSE,2778
eQ0dV,Cozy floor rug,"Cozy floor rug, adds warmth.",https://ak1.ostkcdn.com/wp-content/uploads/2019/03/03122019-softest-area-rugs-for-a-comfy-space-facebook.jpg,FALSE,2262
